yield
2909.1
4200.0
1500.0
2901.0
1000.0
2228.6
3466.5
4468.8
3200.0
2613.6
1863.4
2249.7
4276.9
2208.3
1375.0
3203.8
2473.3
3800.0
4000.0
4015.0
4100.0
2800.0
3313.3
3181.8
3020.0
2800.0
932.0
774.1
2850.0
2600.0
3133.3
2468.1
2781.0
463.0
2485.2
3500.0
1954.9
2500.0
2510.0
4100.0
2000.0
2250.0
4100.0
3153.8
2547.5
1891.3
3150.0
2800.0
1725.0
2500.0
2250.0
1851.9
3000.0
1805.6
3241.7
3800.0
2000.0
2000.0
2200.0
2490.0
2035.0
3333.3
1314.3
1700.0
3564.4
2628.9
3575.6
3584.0
2000.0
2250.0
2000.0
3000.0
1740.0
3180.0
2500.0
4200.0
555.6
2250.0
3750.0
2114.3
2215.4
2500.0
3000.0
3286.7
3600.0
2880.0
1950.0
2000.0
1555.6
1390.0
1500.0
2333.3
2600.0
3076.9
2863.6
2000.0
1900.0
1702.9
2520.0
4533.3
2000.0
3800.0
3296.6
2550.4
2888.9
2200.0
4160.0
2530.0
1527.3
1709.1
2500.0
1300.0
1800.0
3745.5
2094.3
2500.0
1244.4
2134.3
3155.3
3040.0
3000.0
3384.6
3575.8
1168.8
2080.0
1600.0
4250.0
5180.0
5045.5
2024.1
1451.0
2650.0
1126.8
1824.1
1600.0
2812.5
3000.0
1500.0
1840.0
2619.0
2800.0
2381.0
3142.9
3800.0
3000.0
2600.0
2500.0
928.6
2512.1
2773.3
3137.9
2831.7
1680.0
3244.4
2500.0
3975.1
3845.5
3821.4
1000.0
3293.8
2200.0
3825.5
3962.5
1818.8
1379.3
2625.0
2460.0
2260.0
3181.8
1021.2
2280.0
2597.0
2875.6
3785.9
2500.0
1037.0
3200.0
2200.0
3150.0
772.5
2101.4
3240.0
2031.3
1611.1
1900.0
2450.0
4200.0
2500.0
2266.7
2100.0
2491.7
1100.0
3284.0
3796.0
3200.0
1764.7
2775.9
1555.6
2096.3
1600.0
2390.0
3033.3
2650.0
2500.0
2010.9
3000.0
1350.0
2985.2
2993.6
2800.0
1600.0
1550.0
3020.0
3395.0
750.0
960.0
2100.0
2111.1
4300.0
