Modèle,R2_Test,RMSE_Test,MAE_Test
HistGradientBoosting,0.18119763778515752,821.101914353428,642.1078021904352
CatBoost (opt),0.17589697885640954,823.7553995711138,644.7643125221293
Gradient Boosting (opt),0.17523997478265563,824.0836976202171,643.5485834394703
Random Forest (opt),0.16743908471753555,827.9717720926301,649.830803274639
LightGBM (opt),0.15954807644243485,831.8862747571104,651.9959533480533
AdaBoost,0.1354514090269241,843.7275395744817,661.9048221228152
Decision Tree (opt),0.13283485590103317,845.0033441445585,660.6417080290513
