Modèle,R2_Train,R2_Test,RMSE_Test,MAE_Test,Overfitting,Overfitting_Status,CV_R2
SGD (Optuna),0.15441585773980981,0.10595709037879697,857.9988442549846,676.9908869158651,0.048458767361012844,Non,0.1369526790583595
LinearSVR (Optuna),0.15613597558603598,0.10254989605428266,859.6322048122992,678.5030551813155,0.05358607953175332,Non,0.13598493589337007
LinearSVR (Optuna),0.1561094057881306,0.10254412763251108,859.6349674801822,678.4727326790482,0.05356527815561951,Non,0.13598493589337007
