Feature,Importance_Mean,Importance_Std
interaction_rain_area,0.057974676367522016,0.009620437851558654
village_Antsahamamy,0.026276631020252395,0.006670511383755491
rain_year,0.02306444935380545,0.004814141135844409
soil_hillside,0.020662699352941072,0.0055038811204646265
village_Ambohitsilaozana,0.013609166977221376,0.004176189853106761
rain_cycle,0.012660928054251775,0.0034841579181846497
interaction_ca_rain_year,0.012196196353886269,0.006826022448795396
interaction_till_rain_year,0.011721257796390282,0.004800774268835117
rain_flow,0.010581866552567532,0.002432434665817406
area,0.010489661701654763,0.003731199965485262
ratio_N_manure,0.010440609762292264,0.003359994013312951
nitrogen,0.009242038923415597,0.00340075070057426
rain_sow,0.007105048518876389,0.0012441323673739824
interaction_till_rain_flow,0.005879702709181411,0.001871590969697067
urea,0.005214617003514943,0.0028500354320161454
npk,0.004689839713170263,0.0030351810538494727
interaction_ca_rain_cycle,0.004665711133848782,0.0020361637041678856
interaction_till_nitrogen,0.004549642636000062,0.00293955992115152
ratio_N_urea,0.00367390561529638,0.0008250646319221108
village_Ampitatsimo,0.0028233457705814425,0.0006846614961206115
soil_lowland,0.0018832720601516973,0.001061169646951267
CA_year_num,0.0016593620512429853,0.0021564866342983625
manure,0.0015478035683764934,0.0015791001286200653
interaction_ca_rain_sow,0.0014454230282975877,0.0014757624773672332
x24d_bin,0.0010380544800187796,0.0010310770067491395
interaction_rain_nitrogen,0.001002887720757728,0.0008626458384371937
interaction_ca_rain_flow,0.0008356109395800115,0.0024317857928757747
interaction_till_rain_cycle,0.0003528122836512049,0.0007795673407793336
interaction_till_rain_sow,2.5499018552144204e-05,0.00043375560999572616
tillage_till,0.0,0.0
tillage_ca,0.0,0.0
glypho_bin,0.0,0.0
village_Ambohimiarina,0.0,0.0
village_Ambongabe,0.0,0.0
interaction_till_area,0.0,0.0
area_squared,0.0,0.0
nitrogen_squared,0.0,0.0
total_npk,0.0,0.0
rain_cycle_squared,0.0,0.0
water_stress,0.0,0.0
interaction_ca_area,-6.370008693850071e-05,0.000253098620393917
interaction_ca_nitrogen,-0.00012796181104689496,0.0001092238624706722
sow_day_of_year,-0.0008594979701033289,0.0046809410064829115
