R2_train,R2_test,RMSE_test,MAE_test
0.2873252294171986,0.15858963109195723,839.5503138243537,673.0841355855349
0.28416456065098905,0.18128379520163385,798.0011670666215,643.3622639296476
0.2797004617355291,0.1729417870765213,845.0465545956312,655.6190419661972
0.27838236352492085,0.16816932365595028,817.8563105087735,641.720963677088
0.2849473605141759,0.16136921501956036,839.068455826362,682.2919719498408
0.28437237024103046,0.17058484837180798,834.4091046014818,668.59567774653
0.28696152751042614,0.15345991103837364,831.3129068484079,661.5235060869517
0.2842071948978093,0.16722947855883374,820.8491521035322,654.072929488967
0.2654849133057344,0.19684003716690845,834.9964316557708,661.9053995493407
0.27696549674727466,0.17330419830695776,808.4927962993415,631.5827205479959
0.2803085846769783,0.17193093414336302,815.5826562105369,644.7463849472604
0.29012748375686415,0.14160759746308094,846.3974080820823,662.8550626088306
0.2795984461183484,0.17092482852249258,848.4462334115854,683.102940805876
0.2679761179647513,0.19065344210115664,822.6128989493742,661.7264715761711
0.2815315728565456,0.1620416833759185,806.3286704391037,636.7938291849625
0.26801810643724855,0.21327312303661272,790.9394057665182,630.6342250987605
0.2883182287620861,0.13453934186051875,846.4316956951056,670.7167606926997
0.2830323676899871,0.17758219060907243,809.9030776558515,651.2959104946498
0.28716379939034575,0.14967613761091725,841.867306785453,669.373841761137
0.2841878517191081,0.1570445648014761,854.7575329577086,678.0764911730442
0.26806105977936756,0.20930559967596396,837.6271029720815,656.8319533220538
0.2763549471207897,0.20154437814385884,810.1153982830019,648.0609128756396
0.27942370028469943,0.17992425631220477,825.9464952554874,660.0264380114406
0.3100661392856253,0.07555080029240724,846.4758741504384,670.8970156373412
0.2732814620753038,0.17428523640096627,812.6740767710952,650.7611756924828
0.2793661595080026,0.1815507388538875,849.9494910755086,689.5157428391954
0.2880889379499818,0.16327584887436475,845.1490805861553,659.7124195412938
0.27786028903598103,0.1836484711997879,798.5044156322415,642.2327622929837
0.27830838888569587,0.17708459892449868,826.5342155058617,663.6633152611348
0.2849263946011159,0.1431872220260958,815.5362940186036,641.3750112930715
0.2833152289454195,0.17414526354629933,863.803057640592,689.651804167008
0.28493130676684586,0.1472911309219278,787.7420251286956,627.3119145160329
0.28039840287346096,0.15568325601311384,848.1853049715784,671.5376362914666
0.2722752205383483,0.20128093726458496,811.2063901231186,651.7262632654687
0.29176669319106885,0.17278299100397598,817.0276255955031,645.7156481457204
0.287185250399812,0.15054065029151775,853.0234775778946,675.9442554569904
0.2795824538635089,0.15973090131363732,828.7696973110384,655.6763248385579
0.2756540774793246,0.19152055683039038,819.5623931347826,641.0415426068222
0.2799545596587818,0.1971640421527956,816.3922711667655,645.6817110794282
0.2879614729482066,0.155240055128678,812.0390359992099,663.3112694086112
0.283249334414878,0.18881080724454358,810.4717679877527,640.6579332780153
0.2810571262343704,0.15617467691737652,823.1901490997936,661.9504345693939
0.28507497701911555,0.14657409466929028,834.111070974537,660.2530064317662
0.2710519815371306,0.18930018804576254,804.4730337132615,641.2397480918513
0.28427503233573426,0.14146039749372896,874.8168671787648,694.1473070473319
0.27593629804880326,0.17890849250932261,809.927761999373,641.0110920433455
0.2847749360586094,0.1429737606292918,826.7919961573378,659.1283637277533
0.27474005135884294,0.15163513421211317,849.0157798064653,667.8440456817913
0.28402950864298004,0.1652743214432213,823.7904992199999,664.0205629482045
0.28057013400739605,0.19464213711924572,825.0117073643181,657.7492399157857
