Modèle,RMSE_Train,RMSE_Test,R2_Train,R2_Test,CV_R2,Overfitting
Linear,836.0697236108833,858.210327878993,0.15264250024023196,0.10551630018912073,0.1348853348950085,0.04712620005111123
Ridge,836.1183186269241,858.5616871226205,0.15254399518303619,0.10478373046441047,0.13520225365111868,0.04776026471862571
Lasso,835.3045479296557,858.6495395689194,0.15419280312654116,0.10460051482782984,0.13493028227470955,0.04959228829871132
ElasticNet,836.4373458500982,858.2444942738904,0.15189716540023657,0.10544507780769508,0.13681950632750556,0.04645208759254149
