Noise_std,R2,RMSE,MAE
0.0,0.18119763778515752,821.101914353428,642.1078021904352
0.01,0.14306939098473415,840.0020561419159,658.3029260923728
0.05,0.1135991298134702,854.324002303594,673.5377987089537
0.1,0.10602507060500155,857.9662238607731,674.4125781448886
0.2,0.10187404703748293,859.9558285090823,675.533682081858
