iter	RMSE
128	811.2792614
129	811.0489185
130	810.800336
131	810.5243871
132	810.0558257
133	809.7022853
134	809.481382
135	809.2071557
136	809.0201592
137	808.6738952
138	808.507545
139	808.115495
140	807.8175412
141	807.6177283
142	807.3704625
143	807.2011016
144	806.9976135
145	806.6335603
146	806.4156772
147	806.2297322
148	805.7541754
149	805.5057875
150	805.144645
151	804.8872032
152	804.6153492
153	804.3766093
154	804.1054427
155	803.9655419
156	803.7958719
157	803.6025019
158	803.3922784
159	803.2268197
160	803.0329869
161	802.7347498
162	802.5127161
163	802.4496299
164	802.286417
165	802.1716227
166	802.0404683
167	801.8235765
168	801.4888899
169	801.2958232
170	801.047679
171	800.9474536
172	800.699891
173	800.5397644
174	800.2987046
175	800.0537581
176	799.7154809
177	799.5852139
178	799.3928117
179	799.221213
180	799.0320194
181	798.8803557
182	798.6882485
183	798.4987724
184	798.2766502
185	798.045035
186	797.7964388
187	797.6175101
188	797.4659045
189	797.1091715
190	796.8349831
191	796.6229078
192	796.3929845
193	796.184999
194	795.8306131
195	795.6766922
196	795.428121
197	795.2717651
198	795.0735926
199	794.9227422
200	794.8216998
201	794.743942
202	794.5320498
203	794.4390526
204	794.2587318
205	794.0868286
206	793.9060301
207	793.6629341
208	793.5297509
209	793.3722996
210	793.2137295
211	793.0485831
212	792.8367714
213	792.7294221
214	792.53856
215	792.4930942
216	792.4310232
217	792.3140772
218	792.1794481
219	791.8671209
220	791.7164253
221	791.6311627
222	791.4198295
223	791.2945342
224	791.1296079
225	791.0379925
226	790.9214948
227	790.7299856
228	790.574976
229	790.3608204
230	790.182097
231	789.9456714
232	789.7435364
233	789.58972
234	789.4015449
235	789.1884482
236	789.0489762
237	788.8032978
238	788.7570475
239	788.6335234
240	788.4876155
241	788.3377104
242	788.1620931
243	788.0131436
244	787.8999255
245	787.7788138
246	787.6168962
247	787.5426051
248	787.429348
249	787.2629453
250	787.1175721
251	787.0070386
252	786.8176109
253	786.6229437
254	786.4278099
255	786.3946061
256	786.282938
257	786.0831502
258	785.8954406
259	785.6617935
260	785.5514865
261	785.333693
262	785.1298449
263	784.9698347
264	784.8331116
265	784.6974923
266	784.6027104
267	784.3579165
268	784.1958815
269	784.0190128
270	783.9928998
271	783.7968706
272	783.6561993
273	783.4170129
274	783.3228383
275	782.98414
276	782.9017197
277	782.8125375
278	782.6446051
279	782.5843277
280	782.4828233
281	782.4277616
282	782.3380718
283	782.1723134
284	782.0740212
285	781.862489
286	781.7697203
287	781.6479625
288	781.5417868
289	781.2578571
290	781.1511429
291	780.9617878
292	780.8931137
293	780.7922014
294	780.5976228
295	780.511442
296	780.437393
297	780.3163093
298	780.1745989
299	780.0456754
300	779.9621241
301	779.897457
302	779.6100737
303	779.5202463
304	779.479476
305	779.3802486
306	779.2409332
307	779.0582064
308	778.9228248
309	778.6733309
310	778.4943313
311	778.3990094
312	778.1889283
313	777.9900054
314	777.8836302
315	777.7820608
316	777.6260601
317	777.3252058
318	777.1328023
319	777.0340798
320	776.841893
321	776.6811519
322	776.5030151
323	776.3509857
324	776.2337081
325	776.1964396
326	776.0749239
327	775.9194419
328	775.7526688
329	775.6439877
330	775.5158195
331	775.4139403
332	775.1874609
333	775.1241998
334	775.0415557
335	774.9705606
336	774.8377026
337	774.7100288
338	774.5067069
339	774.4410045
340	774.1641502
341	774.0584374
342	773.947343
343	773.8312161
344	773.6731973
345	773.5765291
346	773.4538701
347	773.2976042
348	773.2452062
349	773.148254
350	772.93384
351	772.9119428
352	772.8542033
353	772.7334745
354	772.5682114
355	772.4606938
356	772.3804943
357	772.2176945
358	772.1869951
359	771.9412838
360	771.9299227
361	771.8763076
362	771.762394
363	771.6410806
364	771.4107363
365	771.2088252
366	771.1402438
367	771.1035686
368	770.93526
369	770.8721824
370	770.7075906
371	770.6674111
372	770.6099675
373	770.521609
374	770.297563
375	770.2369796
376	770.0932872
377	769.9848846
378	769.8342951
379	769.7960833
380	769.715765
381	769.5591484
382	769.5484652
383	769.4546575
384	769.3462182
385	769.2700959
386	769.1695383
387	769.102686
388	768.9169203
389	768.7091015
390	768.5795843
391	768.4837057
392	768.285222
393	768.1671738
394	768.0953814
395	768.0797441
396	768.0309284
397	767.9879738
398	767.9084754
399	767.7110379
400	767.6333792
401	767.4338776
402	767.3989891
403	767.2783495
404	767.1516004
405	767.0816737
406	766.9725048
407	766.8822291
408	766.782493
409	766.7455169
410	766.524418
411	766.3551476
412	766.1592149
413	766.0710092
414	765.9078862
415	765.7301595
416	765.4966683
417	765.4486787
418	765.4136114
419	765.382267
420	765.3535142
421	765.316385
422	765.2879104
423	765.2504115
424	765.1706171
425	765.1508803
426	765.1148109
427	764.9597465
428	764.7710817
429	764.7102876
430	764.6593577
431	764.6284636
432	764.3997819
433	764.3657739
434	764.3081696
435	764.2637943
436	764.2163695
